Index,Age,Ethnicities,Wait Time,All Patient States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
197,11-17 Years,All Ethnicities,3 Years to < 5 Years,84,0,0,1,0,27,0,0,2,0,5,0,0,0,3,0,0,0,0,0,0,2,1,1,4,1,0,0,0,0,0,3,0,7,1,1,0,0,1,3,0,0,0,0,6,1,0,9,3,0,0,0
198,11-17 Years,All Ethnicities,5 or More Years,128,1,0,0,0,47,0,1,0,0,1,8,0,0,7,0,0,2,2,4,0,2,2,2,1,0,0,0,1,0,0,5,0,9,2,0,1,3,0,2,0,0,0,1,4,0,0,9,7,0,1,0
255,18-34 Years,All Ethnicities,All Time,"9,327",127,10,113,41,"1,749",79,89,34,20,433,247,26,23,372,158,73,50,116,133,26,200,247,179,169,67,121,18,38,82,23,303,36,745,312,23,222,86,57,375,42,165,23,168,904,73,20,281,105,28,174,13
256,18-34 Years,All Ethnicities,< 30 Days,515,0,0,12,2,75,2,3,0,3,32,14,2,1,24,2,5,3,8,6,1,10,9,13,8,1,6,1,2,4,4,13,3,43,20,2,16,5,2,11,2,8,1,12,57,6,0,15,7,3,9,0
257,18-34 Years,All Ethnicities,30 to < 90 Days,950,11,0,9,7,125,16,10,1,1,44,27,0,3,33,18,16,9,16,13,1,11,19,21,15,9,18,4,5,7,0,31,5,71,30,7,23,8,4,45,2,17,5,20,106,8,0,33,9,4,22,4
258,18-34 Years,All Ethnicities,90 Days to < 6 Months,"1,000",23,1,20,9,136,8,12,3,2,61,20,3,3,46,22,10,3,21,7,3,29,23,24,24,2,13,2,7,10,0,25,3,82,31,2,23,11,9,32,1,22,3,20,96,10,4,29,9,4,27,2
259,18-34 Years,All Ethnicities,6 Months to < 1 Year,"1,647",30,2,24,6,238,22,17,8,7,81,35,1,4,55,31,15,10,25,22,4,32,46,30,27,10,22,1,14,20,2,63,6,116,61,3,39,17,15,72,7,40,2,29,188,19,4,56,28,9,21,2
260,18-34 Years,All Ethnicities,1 Year to < 2 Years,"2,095",31,5,22,8,337,18,19,12,4,98,67,6,6,98,44,15,12,20,34,13,47,62,51,31,22,25,2,8,16,4,60,7,142,84,0,57,25,19,86,10,38,7,36,223,17,6,58,20,1,44,3
261,18-34 Years,All Ethnicities,2 Years to < 3 Years,"1,179",13,1,11,3,248,5,10,5,0,50,31,4,3,49,21,7,6,5,27,2,23,32,22,21,7,18,2,1,11,4,43,2,97,39,4,33,13,4,50,7,17,1,21,114,8,0,40,8,2,25,2
262,18-34 Years,All Ethnicities,3 Years to < 5 Years,"1,190",14,0,7,3,338,5,9,5,1,40,36,7,3,46,19,3,6,16,16,2,30,32,11,19,11,9,4,0,10,3,40,5,106,29,3,24,5,3,51,8,14,3,21,83,4,4,33,17,4,16,0
263,18-34 Years,All Ethnicities,5 or More Years,751,5,1,8,3,252,3,9,0,2,27,17,3,0,21,1,2,1,5,8,0,18,24,7,24,5,10,2,1,4,6,28,5,88,18,2,7,2,1,28,5,9,1,9,37,1,2,17,7,1,10,0
327,35-49 Years,All Ethnicities,All Time,"25,551",364,28,249,136,"4,761",259,243,86,60,"1,149",816,108,56,997,351,155,79,285,440,99,656,779,559,419,322,291,39,62,171,88,771,145,"1,733",912,33,565,181,113,"1,106",80,517,77,475,"2,806",169,37,718,304,94,307,20
328,35-49 Years,All Ethnicities,< 30 Days,"1,209",9,0,23,10,165,14,6,2,2,75,36,4,5,56,14,10,4,16,11,4,21,19,34,15,25,19,2,9,9,4,31,8,77,50,4,29,20,0,43,1,28,3,19,105,14,1,37,17,6,11,0
329,35-49 Years,All Ethnicities,30 to < 90 Days,"2,133",18,2,16,16,260,28,17,6,7,142,65,7,5,119,38,25,6,29,50,10,61,41,46,23,30,21,9,5,17,4,63,17,126,80,3,49,20,4,92,5,43,3,43,233,19,3,76,29,8,36,7
330,35-49 Years,All Ethnicities,90 Days to < 6 Months,"2,407",40,4,28,18,316,18,18,8,5,136,86,3,5,95,33,17,14,23,43,12,63,52,56,48,29,33,5,8,19,10,66,11,172,95,5,54,19,21,112,8,67,7,48,278,22,4,75,41,15,21,1
331,35-49 Years,All Ethnicities,6 Months to < 1 Year,"4,207",77,2,51,22,610,51,35,11,12,208,137,12,13,172,67,26,13,55,70,12,116,83,112,70,37,50,4,15,38,16,142,22,273,157,6,88,36,24,163,10,104,16,97,537,25,3,138,57,27,59,4
332,35-49 Years,All Ethnicities,1 Year to < 2 Years,"5,823",93,5,49,35,959,63,61,25,13,238,191,17,11,219,96,38,28,78,112,24,151,192,115,82,59,80,10,14,36,22,183,30,396,219,4,151,35,34,267,18,119,20,98,702,53,12,172,65,15,70,3
333,35-49 Years,All Ethnicities,2 Years to < 3 Years,"3,472",54,3,29,8,692,33,38,12,7,137,107,19,11,136,42,16,11,38,63,18,85,147,72,48,42,40,2,5,24,15,103,19,228,124,3,87,30,16,139,17,61,15,73,382,15,3,95,34,13,45,1
